Speaker_ID,Listener_ID,Relationship_Type,Context,Environment,Power_Dynamic,Emotional_State,Speaker_Pronoun,Listener_Term,Listener_Pronoun,Speaker_Term,Notes
Yán Huán Shān,Lín Xǐ Róu,family,Chào hỏi sau khi gửi quà hối lộ về,informal,equal,affectionate,Tôi,Em (Vợ),Em (Vợ),Anh (Chồng),"YHS hân hoan, LXR dịu dàng"
Lín Xǐ Róu,Yán Huán Shān,family,Hỏi về vụ mất trộm tiền mỏ than,informal,equal,concerned,Tôi,Anh (Chồng),Tôi,Em (Vợ),"LXR quan tâm đến việc báo án"
Yán Huán Shān,Lín Xǐ Róu,family,Giải thích việc không báo cảnh sát vì mỏ than không sạch sẽ,informal,equal,serious,Tôi,Em (Vợ),Tôi,Anh (Chồng),
Niè Jiǔ Luó,Sūn Zhōu,business,Hỏi về lý do dừng xe đột ngột trên đường quê,informal,equal,curious,Tôi,Anh (Tài xế),Tôi,Cô (Khách),"NQL nghi ngờ có chuyện xảy ra"
Sūn Zhōu,Niè Jiǔ Luó,business,Giải thích lý do dừng xe đột ngột, giả vờ là gặp chuột,informal,slightly_inferior,nervous,Tôi,Cô (Khách),Tôi,Anh (Tài xế),
Niè Jiǔ Luó,Sūn Zhōu,business,Chấm dứt hợp đồng sau khi bị SZ bỏ chạy,semi-formal,superior,angry,Tôi,Anh (Tài xế),Tôi,Cô (Khách),"NQL bình tĩnh gọi điện khiếu nại"
Yán Tuò,Niè Jiǔ Luó,enemies+business,Buộc NQL hợp tác sau khi bắt cóc,informal,superior,dangerous,Tôi,Cô (Khách),Tôi,Anh (Chồng),"YT vũ trang và cảnh báo NQL"
Niè Jiǔ Luó,Yán Tuò,enemies+business,Thương lượng khi bị bắt cóc,informal,equal,antagonistic,Tôi,Anh (Chồng),Tôi,Cô (Khách),"NQL tìm cách thoát thân"
Yán Tuò,Niè Jiǔ Luó,enemies+business,Giải thích lý do bắt giữ NQL, vì thấy điều không nên thấy,semi-formal,superior,calculated,Tôi,Cô (Khách),Tôi,Anh (Chồng),"YT khẳng định mục đích bắt giữ"
Niè Jiǔ Luó,Yán Tuò,enemies+business,Đòi hỏi câu trả lời về lý do bị bắt giữ,semi-formal,equal,antagonistic,Tôi,Anh (Chồng),Tôi,Cô (Khách),"NQL trực tiếp gây hấn"
Yán Tuò,Niè Jiǔ Luó,enemies+business,Đề nghị NQL làm việc cho mình để giải quyết mâu thuẫn,semi-formal,superior,calm,Tôi,Cô (Khách),Tôi,Anh (Chồng),"YT đưa ra đề nghị hợp tác"
Niè Jiǔ Luó,Yán Tuò,enemies+business,Đồng ý hợp tác/chấp nhận bị bắt giữ,semi-formal,inferior,calm,Tôi,Anh (Chồng),Tôi,Cô (Khách),"NQL chấp nhận vì bị đe dọa vũ lực"
Yán Tuò,Gǒu Yá,superior-subordinate,Hỏi về lý do bị thương và bại lộ thân phận,informal,much_superior,angry,Tôi,Ngươi (Gǒu Yá),Tôi,Anh (Gǒu Yá),"YT tra hỏi GY vì lo sợ kế hoạch bị đổ bể"
Gǒu Yá,Yán Tuò,superior-subordinate,Giải thích việc bị thương do sơ suất, cố gắng che giấu sự thật,informal,much_inferior,fearful,Tôi,Anh (Chủ),Tôi,Gǒu Yá,"GY sợ bị GY trừng phạt nên nói dối"
Niè Jiǔ Luó,Gǒu Yá,enemies,Đe dọa GY để lấy thông tin,combat,superior,threatening,Tôi,Ngươi (Gǒu Yá),Tôi,Cô (NQL),"NQL đã khống chế GY bằng tay còng"
Niè Jiǔ Luó,Gǒu Yá,enemies,Hỏi về mối liên hệ với sinh vật địa phương (Địa Kiêu),combat,superior,curious,Tôi,Ngươi (Gǒu Yá),Tôi,Cô (NQL),"NQL dò la thông tin về Địa Kiêu"
Yán Tuò,Gǒu Yá,superior-subordinate,Phân công nhiệm vụ khi YT chuẩn bị đi,informal,much_superior,serious,Tôi,Ngươi (Gǒu Yá),Tôi,Anh (Chủ),"YT giao phó nhiệm vụ canh giữ"
Yán Tuò,Huá Sǎo Zi,enemies,Hỏi đường trong làng và bắt chuyện,semi-formal,equal,wary,Tôi,Cô (Huá Sǎo Zi),Tôi,Anh (YT),"YT dò la thông tin làng xóm"
Huá Sǎo Zi,Yán Tuò,enemies,Nhờ YT giúp đỡ khuân vác, thử thăm dò YT,semi-formal,equal,calculated,Tôi,Anh (YT),Tôi,Cô (Huá Sǎo Zi),"HSZ tìm cách giữ chân YT"
Yán Tuò,Dà Tóu,enemies,Hỏi về chi phí hỏi đường sau khi bị chặn lại,combat,equal,irate,Tôi,Ngươi (Dà Tóu),Tôi,Anh (YT),"YT cố gắng tránh xung đột"
Dà Tóu,Yán Tuò,enemies,Đòi tiền chuộc, cố ý gây sự,combat,superior,greedy,Tôi,Ngươi (Dà Tóu),Tôi,Anh (YT),"DT lộ rõ ý định cướp đoạt"
Yán Tuò,Lín Líng,family,Bảo LL không cần lo lắng về sự xuất hiện của LXR,semi-formal,superior,concerned,Tôi,Em (LL),Tôi,Anh (YT),"YT trấn an LL về LXR"
Niè Jiǔ Luó,Xíng Shēn,friends+business,Báo cáo việc bị tấn công và cần hỗ trợ điều tra,urgent,equal,urgent,Tôi,Anh (XS),Tôi,Cô (NQL),"NQL gọi XS sau vụ tấn công"
Xíng Shēn,Niè Jiǔ Luó,friends+business,Khuyên NQL cẩn thận vì đối phương đã bị chọc giận,urgent,equal,concerned,Tôi,Anh (XS),Tôi,Cô (NQL),"XS lo lắng cho sự an toàn của NQL"
Niè Jiǔ Luó,Xíng Shēn,friends+business,Từ chối đề nghị giúp đỡ, khẳng định mình là người bình thường,urgent,equal,determined,Tôi,Anh (XS),Tôi,Cô (NQL),"NQL nhấn mạnh mình là người bình thường"
Lín Xǐ Róu,Yán Tuò,family,Bày tỏ sự lo lắng và nghi ngờ về việc YT bị bắt cóc,semi-formal,superior,suspicious,Tôi,Con (YT),Tôi,Mẹ (LXR),"LXR tra hỏi YT về vụ mất tích"
Yán Tuò,Lín Xǐ Róu,family,Giải thích việc bị bắt cóc, cố gắng tạo ra câu chuyện hợp lý,semi-formal,inferior,deceptive,Tôi,Mẹ (LXR),Tôi,Con (YT),"YT che đậy sự thật"
Lín Xǐ Róu,Yán Tuò,family,Mắng YT vì giao thiệp với phụ nữ không đứng đắn,semi-formal,superior,angry,Tôi,Con (YT),Tôi,Mẹ (LXR),"LXR thể hiện sự không hài lòng về NQL"
Yán Tuò,Lín Xǐ Róu,family,Đồng ý với LXR về việc NQL là người không ra gì,semi-formal,inferior,deceptive,Tôi,Mẹ (LXR),Tôi,Con (YT),"YT giả vờ ghét NQL"
Niè Jiǔ Luó,Lǎo Qián,business,Hỏi về lý do ít người đến vùng phía Tây thôn,informal,superior,curious,Tôi,Anh (Tài xế),Tôi,Cô (Khách),"NQL thăm dò thông tin về khu vực cấm kỵ"
Lǎo Qián,Niè Jiǔ Luó,business,Giải thích lý do ít người đến, do mê tín và câu chuyện cũ,informal,slightly_inferior,jovial,Tôi,Cô (Khách),Tôi,Anh (Tài xế),"LQ kể chuyện cũ cho NQL"
Niè Jiǔ Luó,Lǎo Qián,business,Phân tích sự mê tín dựa trên câu chuyện Địa Quan Âm,informal,superior,analytical,Tôi,Anh (Tài xế),Tôi,Cô (Khách),"NQL đưa ra phân tích sắc bén"
Niè Jiǔ Luó,Yán Tuò,collaborators,Trao đổi thông tin về kế hoạch của LXR (sau khi NQL được thả),semi-formal,equal,cynical,Tôi,Anh (YT),Tôi,Cô (NQL),"NQL yêu cầu YT giúp đỡ"
Yán Tuò,Niè Jiǔ Luó,collaborators,Đánh giá thông tin NQL cung cấp, thăm dò ý định của NQL,semi-formal,equal,cautious,Tôi,Cô (NQL),Tôi,Anh (YT),"YT thận trọng với thông tin NQL đưa ra"
Lín Xǐ Róu,Lín Líng,family,Trao đổi thông tin về sự biến mất của YT,semi-formal,superior,suspicious,Tôi,Con (LL),Tôi,Mẹ (LXR),"LXR tỏ ý không tin tưởng YT"
Lín Líng,Lín Xǐ Róu,family,Đề cập đến hành vi bất thường của YT (giả vờ thích phụ nữ),semi-formal,inferior,eager,Tôi,Mẹ (LXR),Tôi,Con (LL),"LL cố gắng cung cấp thông tin"
Lín Xǐ Róu,Gǒu Yá,enemies,LXR tra hỏi GY về vết thương, không tin tưởng lời khai,semi-formal,much_superior,suspicious,Tôi,Ngươi (Gǒu Yá),Tôi,LXR,"LXR không tin GY tự làm thương mình"
Yán Tuò,Lín Xǐ Róu,family,YT hỏi về LXR's quá khứ để tìm manh mối,semi-formal,inferior,inquisitive,Tôi,Mẹ (LXR),Tôi,Con (YT),"YT tìm hiểu về động cơ của LXR"
Lín Xǐ Róu,Yán Huán Shān,family,LXR nói dối về việc đi chơi đêm, dẫn đến tranh cãi,informal,equal,deceptive,Tôi,Anh (Chồng),Tôi,Em (Vợ),"LXR lừa dối YHS"
Sūn Zhōu,Qiáo Yà,romantic_interest,Hỏi về cảm xúc sau khi bị NQL bỏ lại,informal,equal,afraid,Anh (SZ),Em (QY),Em (QY),Anh (SZ),"SZ sợ hãi sau vụ tấn công"
Qiáo Yà,Sūn Zhōu,romantic_interest,Mắng SZ vì bỏ rơi NQL, bày tỏ sự nghi ngờ về SZ,informal,equal,angry,Em (QY),Anh (SZ),Anh (SZ),Em (QY),"QY ghen tuông/cảnh báo SZ"
Lín Líng,Yán Tuò,friends+family,LL hỏi YT về lý do LXR nhận nuôi mình,semi-formal,equal,anxious,Tôi,Anh (YT),Tôi,Em (LL),"LL tìm kiếm sự thật về nguồn gốc"
Niè Jiǔ Luó,Lú Jiě,superior-subordinate,NQL giải thích về mối quan hệ phức tạp,semi-formal,superior,candid,Tôi,Cô (LJ),Tôi,NQL,"NQL chia sẻ một phần sự thật"
Lú Jiě,Niè Jiǔ Luó,superior-subordinate,LJ lo lắng NQL bị lợi dụng,semi-formal,inferior,concerned,Tôi,Cô (NQL),Tôi,LJ,"LJ thể hiện sự quan tâm"
Niè Jiǔ Luó,Yán Tuò,enemies+business,Hỏi về lý do YT không để NQL gọi là "mẹ",semi-formal,equal,cynical,Tôi,Anh (YT),Tôi,NQL,"NQL dò hỏi về mối quan hệ giữa YT và LXR"
Yán Tuò,Lín Líng,family,YT trấn an LL về LXR, nhưng vẫn cảnh giác,semi-formal,superior,wary,Tôi,Em (LL),Tôi,Anh (YT),"YT dặn dò LL giữ bí mật"

