Type,Original_Term_Pinyin,Original_Term_CN,Translated_Term_VI,Alternative_Translations,Translation_Rule,Context_Usage,Frequency,Notes
Character,Niè Jiǔ Luó,聂九罗,Nhiếp Cửu La,Nhiếp tiểu thư; A La; Nhiếp Nhị,transliterate,Nhiếp Cửu La: Tên đầy đủ, trang trọng. Nhiếp tiểu thư: Cách gọi lịch sự của người khác. A La: Tên gọi thân mật của Hình Thâm. Nhiếp Nhị: Biệt danh trong giới.,High,Nhân vật nữ chính, có kỹ năng đặc biệt về điêu khắc và thân thủ phi phàm.
Character,Yán Tuò,炎拓,Viêm Thác,Tiểu Thác,transliterate,Viêm Thác: Tên đầy đủ. Tiểu Thác: Cách gọi thân mật của Lâm Hỉ Nhu.,High,Nhân vật nam chính, con trai của Viêm Hoàn Sơn và Lâm Hỉ Nhu, có quá khứ phức tạp.
Character,Lín Xǐ Róu,林喜柔,Lâm Hỉ Nhu,Lâm di,transliterate,"Lâm Hỉ Nhu: Tên gốc của mẹ Viêm Thác. Lâm di: Cách gọi của Viêm Thác và những người thân cận đối với ""địa kiêu"" đã chiếm thân xác bà.",High,"Mẹ của Viêm Thác, sau này thân xác bị một ""địa kiêu"" chiếm giữ."
Character,Yán Huán Shān,炎还山,Viêm Hoàn Sơn,Đại Sơn,transliterate,Viêm Hoàn Sơn: Tên đầy đủ. Đại Sơn: Tên gọi thân mật của Lâm Hỉ Nhu.,Medium,"Cha của Viêm Thác, một chủ mỏ than bị ""địa kiêu"" giết và chiếm thân xác."
Character,Sūn Zhōu,孙周,Tôn Chu,,transliterate,Tên đầy đủ.,Medium,Tài xế của Nhiếp Cửu La, bị Cẩu Nha tấn công và sau đó bị bắt đi để huấn luyện thành ""lang khuyển"".
Character,Gǒu Yá,狗牙,Cẩu Nha,,transliterate,Tên đầy đủ.,Medium,Một địa kiêu có ngoại hình xấu xí, đồng bọn của Lâm Hỉ Nhu, bị Nhiếp Cửu La chọc mù mắt.
Character,Xíng Shēn,邢深,Hình Thâm,,transliterate,Tên đầy đủ.,Medium,"Thuộc ""Cẩu gia nhân"", có biệt danh ""Cuồng khuyển"", có tình cảm với Nhiếp Cửu La."
Character,Jiǎng Bǎichuān,蒋百川,Tưởng Bách Xuyên,Tưởng thúc,transliterate,"Tưởng Bách Xuyên: Tên đầy đủ. Tưởng thúc: Cách gọi của thế hệ sau.",Medium,Người đứng đầu của nhóm ""Ba Sơn thợ săn"" hiện tại.
Character,Lǎo Qián,老钱,Lão Tiền,,hybrid,Cách gọi thông thường.,Low,Tài xế thay thế cho Tôn Chu.
Character,Què Chá,雀茶,Tước Trà,Trà tỷ,transliterate,Tước Trà: Tên đầy đủ. Trà tỷ: Cách gọi của đàn em.,Medium,Một thành viên nữ trong nhóm của Tưởng Bách Xuyên, có vẻ ngoài quyến rũ.
Character,Dàtóu,大头,Đại Đầu,,translate_meaning,Biệt danh, chỉ người có cái đầu to.,Low,"Thành viên của ""Cẩu gia nhân"", có khứu giác đặc biệt nhạy với mùi của địa kiêu."
Character,Shān Qiáng,山强,Sơn Cường,,transliterate,Tên đầy đủ.,Low,Thành viên trong nhóm ở thôn Bản Nha, tham gia tấn công Viêm Thác.
Character,Liú Sān Chí,刘三池,Lưu Tam Trì,,transliterate,Tên đầy đủ.,Low,Tổ trưởng tổ công nhân trong mỏ than của Viêm Hoàn Sơn.
Character,Lǐ Èr Gǒu,李二狗,Lý Nhị Cẩu,,transliterate,Tên đầy đủ.,Low,Công nhân mỏ than ăn trộm tiền và bỏ trốn, là người đầu tiên đồn về ""ma"" trong mỏ.
